127.0.0.1 - - [09/Nov/2019:15:03:59 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Nov/2019:15:04:00 +0900] "GET /javascript/resources/js/inside-javascript/chapter4/chapter4.jsp HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2019:15:04:00 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [09/Nov/2019:15:04:44 +0900] "GET /javascript/resources/js/inside-javascript/chapter4/chapter4.jsp HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2019:15:54:31 +0900] "GET /javascript/resources/js/inside-javascript/chapter4/chapter4.jsp HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [09/Nov/2019:15:54:50 +0900] "GET /javascript/resources/js/inside-javascript/chapter4/chapter4.jsp HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [09/Nov/2019:16:42:10 +0900] "GET /javascript/resources/js/inside-javascript/chapter4/chapter4.jsp HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [09/Nov/2019:16:42:25 +0900] "GET /javascript/resources/js/inside-javascript/chapter4/chapter4.jsp HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [09/Nov/2019:16:42:42 +0900] "GET /javascript/resources/js/inside-javascript/chapter4/chapter4.jsp HTTP/1.1" 200 1214
